numero_boletim;data_hora_boletim;sequencial_veiculo;codigo_categoria;descricao_categoria;codigo_especie;descricao_especie;codigo_situacao;descricao_situacao;tipo_socorro;descricao_tipo_socorro
13098;03/01/2011 17:40;1;4;ALUGUEL                       ;8;ONIBUS                        ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
13098;03/01/2011 17:40;2;0;NAO INFORMADO                 ;0;NAO INFORMADO                 ;0;NÃO INFORMADO  ;0;NÃO INFORMADO       
13270;03/01/2011 13:27;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
13296;03/01/2011 14:54;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
13296;03/01/2011 14:54;2;4;ALUGUEL                       ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
13427;03/01/2011 19:50;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
13427;03/01/2011 19:50;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
13785;01/01/2011 15:00;1;0;NAO INFORMADO                 ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
13785;01/01/2011 15:00;2;0;NAO INFORMADO                 ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
14390;04/01/2011 06:50;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
14390;04/01/2011 06:50;2;4;ALUGUEL                       ;8;ONIBUS                        ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
14462;04/01/2011 07:40;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
14462;04/01/2011 07:40;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
