bairro_pk;bairro_tipo_pk;bairro_desc;bairro_tipo_desc
404;NI;Vila Ipiranga                 ;Não informado        
405;V ;Vila Jardim Leblon            ;Vila                 
406;V ;Vila Jardim Montanhês         ;Vila                 
407;V ;Vila Jardim São José          ;Vila                 
408;V ;Vila Maloca                   ;Vila                 
409;V ;Vila Mantiqueira              ;Vila                 
410;V ;Vila Minaslândia              ;Vila                 
411;V ;Vila Nossa Senhora do Rosário ;Vila                 
412;NI;Vila Nova                     ;Não informado        
413;B ;Vila Nova Cachoeirinha        ;Bairro               
413;NI;Vila Nova Cachoeirinha        ;Não informado        
413;V ;Vila Nova Cachoeirinha        ;Vila                 
414;V ;Vila Nova dos Milionários     ;Vila                 
415;NI;Vila Nova Gameleira 1ª Seção  ;Não informado        
416;B ;Vila Nova Gameleira 2ª Seção  ;Bairro               
417;B ;Vila Nova Gameleira 3ª Seção  ;Bairro               
418;B ;Vila Nova Paraíso             ;Bairro               
419;V ;Vila Novo São Lucas           ;Vila                 
420;V ;Vila Olhos D'água             ;Vila                 
421;V ;Vila Paquetá                  ;Vila                 
422;V ;Vila Paraíso                  ;Vila                 
423;V ;Vila Petrópolis               ;Vila                 
424;V ;Vila Pilar                    ;Vila                 
425;V ;Vila Piratininga              ;Vila                 
426;V ;Vila Primeiro de Maio         ;Vila                 
427;NI;Vila PUC                      ;Não informado        
428;B ;Vila Real 1ª Seção            ;Bairro               
429;B ;Vila Real 2ª Seção            ;Bairro               
430;V ;Vila Rica                     ;Vila                 
431;V ;Vila Santa Rosa               ;Vila                 
432;V ;Vila Santo Antônio            ;Vila                 
433;V ;Vila Santo Antônio Barroquinha;Vila                 
434;NI;Vila São Francisco            ;Não informado        
435;B ;Vila São Gabriel Jacuí        ;Bairro               
436;V ;Vila São Geraldo              ;Vila                 
437;V ;Vila São Paulo                ;Vila                 
438;V ;Vila São Rafael               ;Vila                 
439;V ;Vila Satélite                 ;Vila                 
440;B ;Vila Suzana 1ª Seção          ;Bairro               
441;NI;Vila Suzana 2ª Seção          ;Não informado        
442;V ;Vila Tirol                    ;Vila                 
443;V ;Vila Trinta E Um de Março     ;Vila                 
444;V ;Vila União                    ;Vila                 
445;B ;São Sebastião                 ;Bairro               
446;V ;Vila Vista Alegre             ;Vila                 
447;V ;Vitória                       ;Vila                 
448;V ;Zilah Spósito                 ;Vila                 
449;B ;Acaba Mundo                   ;Bairro               
450;B ;Novo Glória                   ;Bairro               
451;B ;CDI Jatobá                    ;Bairro               
452;B ;Vila São Dimas                ;Bairro               
453;B ;Cidade Jardim Taquaril        ;Bairro               
454;B ;Serra do Curral               ;Bairro               
455;B ;Conjunto Capitão Eduardo      ;Bairro               
456;B ;Belém 1ª Seção                ;Bairro               
457;B ;Andiroba                      ;Bairro               
458;NI;Boa Esperança                 ;Não informado        
459;B ;Vila da Luz                   ;Bairro               
460;B ;Vila São Gabriel              ;Bairro               
461;B ;Vila Canto do Sabiá           ;Bairro               
462;NI;Alto das Antenas              ;Não informado        
463;B ;Ambrosina                     ;Bairro               
464;B ;Vila Betânia                  ;Bairro               
465;B ;Vila da Amizade               ;Bairro               
466;B ;Vila Mangueiras               ;Bairro               
467;B ;Lagoa da Pampulha             ;Bairro               
468;NI;Marieta 2ª Seção              ;Não informado        
469;B ;Vila Santa Mônica             ;Bairro               
470;B ;Antônio Ribeiro de Abreu      ;Bairro               
