boletim_pk;hora
1043;16.2666666667
1044;13.2166666667
1045;12.2
1046;1.0166666667
1047;18.3
1048;0.0
1049;16.2666666667
1050;15.25
1051;22.3666666667
1052;18.3
1053;9.15
1054;7.1166666667
1055;0.0
1056;7.1166666667
1057;2.0333333333
1058;13.2166666667
1059;14.2333333333
1060;20.3333333333
1061;14.2333333333
1062;2.0333333333
1063;20.3333333333
1064;18.3
1065;13.2166666667
1066;17.2833333333
1067;20.3333333333
1068;16.2666666667
1069;20.3333333333
1070;21.35
1071;14.2333333333
1072;12.2
1073;7.1166666667
1074;21.35
1075;21.35
1076;18.3
1077;15.25
1078;10.1666666667
1079;18.3
1080;11.1833333333
1081;7.1166666667
1082;7.1166666667
1083;9.15
1084;9.15
1085;18.3
1086;12.2
1087;11.1833333333
1088;23.3833333333
1089;9.15
1090;16.2666666667
1091;12.2
1092;16.2666666667
1093;21.35
1094;7.1166666667
1095;12.2
1096;0.0
1097;11.1833333333
1098;12.2
1099;16.2666666667
1100;12.2
1101;18.3
1102;17.2833333333
1103;11.1833333333
1104;18.3
1105;19.3166666667
1106;18.3
1107;23.3833333333
1108;11.1833333333
1109;7.1166666667
1110;18.3
1111;18.3
1112;12.2
1113;23.3833333333
1114;13.2166666667
1115;16.2666666667
1116;11.1833333333
1117;17.2833333333
1118;18.3
1119;8.1333333333
1120;0.0
1121;0.0
1122;14.2333333333
1123;18.3
1124;20.3333333333
1125;15.25
1126;8.1333333333
1127;9.15
1128;13.2166666667
1129;23.3833333333
1130;17.2833333333
1131;18.3
1132;19.3166666667
1133;1.0166666667
1134;17.2833333333
1135;14.2333333333
1136;2.0333333333
1137;14.2333333333
1138;14.2333333333
1139;15.25
1140;19.3166666667
1141;21.35
1142;16.2666666667
1143;20.3333333333
1144;14.2333333333
1145;22.3666666667
1146;11.1833333333
1147;21.35
1148;23.3833333333
1149;13.2166666667
1150;22.3666666667
1151;22.3666666667
1152;18.3
1153;14.2333333333
1154;16.2666666667
1155;16.2666666667
