"Tabela 202 - População residente, por sexo e situação do domicílio",,,,,,,,,,,,,,,,,,
Variável - População residente (Pessoas),,,,,,,,,,,,,,,,,,
,,,,1970,1970,1970,1980,1980,1980,1991,1991,1991,2000,2000,2000,2010,2010,2010
nivel_cod,nivel,cod,nome,Total,H,M,Total,H,M,Total,H,M,Total,H,M,Total,H,M
BA,Bairro,3106200234,Pindorama,,,,,,,,,,,,,17579,8175,9404
BA,Bairro,3106200235,Santa Maria,,,,,,,,,,,,,7075,3309,3766
BA,Bairro,3106200236,Santo André,,,,,,,,,,,,,7411,3375,4036
BA,Bairro,3106200237,Vila Paquetá,,,,,,,,,,,,,703,351,352
BA,Bairro,3106200238,São Francisco das Chagas,,,,,,,,,,,,,1346,663,683
BA,Bairro,3106200239,São Salvador,,,,,,,,,,,,,5839,2759,3080
BA,Bairro,3106200240,Senhor dos Passos,,,,,,,,,,,,,2849,1318,1531
BA,Bairro,3106200241,Serrano,,,,,,,,,,,,,9971,4748,5223
BA,Bairro,3106200243,Vila Antena Montanhês,,,,,,,,,,,,,448,206,242
BA,Bairro,3106200244,Vila Califórnia,,,,,,,,,,,,,3100,1496,1604
BA,Bairro,3106200245,Vila Coqueiral,,,,,,,,,,,,,1533,735,798
BA,Bairro,3106200246,Vila das Oliveiras,,,,,,,,,,,,,241,98,143
BA,Bairro,3106200247,Vila Jardim Alvorada,,,,,,,,,,,,,2776,1330,1446
BA,Bairro,3106200248,Vila Jardim Montanhes,,,,,,,,,,,,,259,116,143
BA,Bairro,3106200249,Vila Jardim São José,,,,,,,,,,,,,1698,818,880
BA,Bairro,3106200250,Vila Nova Cachoeirinha 1ª Seção,,,,,,,,,,,,,2273,1106,1167
BA,Bairro,3106200251,Vila Nova Cachoeirinha 2ª Seção,,,,,,,,,,,,,145,66,79
BA,Bairro,3106200252,Vila Oeste,,,,,,,,,,,,,1339,625,714
BA,Bairro,3106200253,Vila Puc,,,,,,,,,,,,,89,44,45
BA,Bairro,3106200254,Vila Santo Antônio Barroquinha,,,,,,,,,,,,,667,323,344
BA,Bairro,3106200255,Vila Sumaré,,,,,,,,,,,,,2987,1417,1570
BA,Bairro,3106200256,Vila Trinta e Um de Março,,,,,,,,,,,,,1525,715,810
BA,Bairro,3106200257,Aeroporto,,,,,,,,,,,,,1325,643,682
BA,Bairro,3106200258,Bandeirantes,,,,,,,,,,,,,5428,2659,2769
BA,Bairro,3106200259,Vila São Francisco,,,,,,,,,,,,,69,28,41
BA,Bairro,3106200260,Braúnas,,,,,,,,,,,,,2031,979,1052
BA,Bairro,3106200262,Castelo,,,,,,,,,,,,,17083,8153,8930
BA,Bairro,3106200263,Confisco,,,,,,,,,,,,,4283,2033,2250
BA,Bairro,3106200264,Conjunto Lagoa,,,,,,,,,,,,,662,294,368
BA,Bairro,3106200265,Conjunto São Francisco de Assis,,,,,,,,,,,,,300,153,147
BA,Bairro,3106200266,Copacabana,,,,,,,,,,,,,13333,6414,6919
BA,Bairro,3106200267,Dona Clara,,,,,,,,,,,,,8844,4136,4708
BA,Bairro,3106200268,Garças,,,,,,,,,,,,,966,484,482
BA,Bairro,3106200269,Indaiá,,,,,,,,,,,,,3317,1615,1702
BA,Bairro,3106200270,Itatiaia,,,,,,,,,,,,,1793,881,912
BA,Bairro,3106200271,Jaraguá,,,,,,,,,,,,,4059,1908,2151
BA,Bairro,3106200272,Jardim Atlântico,,,,,,,,,,,,,1459,699,760
BA,Bairro,3106200273,Liberdade,,,,,,,,,,,,,4477,2199,2278
BA,Bairro,3106200274,Manacas,,,,,,,,,,,,,8248,3954,4294
BA,Bairro,3106200275,Nova Pampulha,,,,,,,,,,,,,350,155,195
BA,Bairro,3106200276,Novo Ouro Preto,,,,,,,,,,,,,502,241,261
BA,Bairro,3106200277,Ouro Preto,,,,,,,,,,,,,17255,8244,9011
BA,Bairro,3106200278,Paquetá,,,,,,,,,,,,,6420,3087,3333
BA,Bairro,3106200279,Santa Rosa,,,,,,,,,,,,,6723,3065,3658
BA,Bairro,3106200280,Santa Terezinha,,,,,,,,,,,,,15792,7429,8363
BA,Bairro,3106200281,São Francisco,,,,,,,,,,,,,4389,2062,2327
BA,Bairro,3106200282,São José,,,,,,,,,,,,,1522,688,834
BA,Bairro,3106200283,São Luiz,,,,,,,,,,,,,4762,2250,2512
BA,Bairro,3106200284,Suzana,,,,,,,,,,,,,1986,951,1035
BA,Bairro,3106200285,Trevo,,,,,,,,,,,,,4311,2141,2170
BA,Bairro,3106200286,Universitário,,,,,,,,,,,,,1995,924,1071
BA,Bairro,3106200287,Urca,,,,,,,,,,,,,4685,2241,2444
BA,Bairro,3106200288,Vila Aeroporto,,,,,,,,,,,,,2092,1037,1055
BA,Bairro,3106200289,Vila Aeroporto Jaraguá,,,,,,,,,,,,,618,278,340
BA,Bairro,3106200290,Vila Engenho Nogueira,,,,,,,,,,,,,263,126,137
BA,Bairro,3106200291,Vila Real 1ª Seção,,,,,,,,,,,,,109,56,53
BA,Bairro,3106200292,Vila Real 2ª Seção,,,,,,,,,,,,,683,342,341
BA,Bairro,3106200294,Túnel de Ibirité,,,,,,,,,,,,,1894,909,985
BA,Bairro,3106200295,Marieta 1ª Seção,,,,,,,,,,,,,1227,602,625
BA,Bairro,3106200296,Marieta 2ª Seção,,,,,,,,,,,,,181,85,96
BA,Bairro,3106200297,Marieta 3ª Seção,,,,,,,,,,,,,96,46,50
BA,Bairro,3106200298,Vila Piratininga,,,,,,,,,,,,,1693,823,870
BA,Bairro,3106200299,Jatobá,,,,,,,,,,,,,3447,1655,1792
BA,Bairro,3106200300,Marilandia,,,,,,,,,,,,,865,417,448
BA,Bairro,3106200301,Vila Batik,,,,,,,,,,,,,192,92,100
BA,Bairro,3106200302,Vila Olhos D'Água,,,,,,,,,,,,,892,430,462
BA,Bairro,3106200303,Vila Pilar,,,,,,,,,,,,,910,437,473
BA,Bairro,3106200304,São João,,,,,,,,,,,,,1686,815,871
BA,Bairro,3106200305,Serra do Curral,,,,,,,,,,,,,344,170,174
BA,Bairro,3106200306,Bonsucesso,,,,,,,,,,,,,6424,3212,3212
BA,Bairro,3106200307,Bernadete,,,,,,,,,,,,,1516,727,789
BA,Bairro,3106200308,Alto das Antenas,,,,,,,,,,,,,384,184,200
BA,Bairro,3106200309,Esperança,,,,,,,,,,,,,2146,1052,1094
BA,Bairro,3106200310,Vila Cemig,,,,,,,,,,,,,5668,2820,2848
BA,Bairro,3106200311,Flavio Marques Lisboa,,,,,,,,,,,,,7861,3690,4171
BA,Bairro,3106200312,Flavio de Oliveira,,,,,,,,,,,,,2872,1370,1502
BA,Bairro,3106200313,Cardoso,,,,,,,,,,,,,10582,5043,5539
BA,Bairro,3106200314,Araguaia,,,,,,,,,,,,,14635,6915,7720
BA,Bairro,3106200315,Milionario,,,,,,,,,,,,,12175,5914,6261
BA,Bairro,3106200316,Vila Nova dos Milionarios,,,,,,,,,,,,,587,277,310
BA,Bairro,3106200317,Vila Copasa,,,,,,,,,,,,,321,154,167
BA,Bairro,3106200318,Conjunto Bonsucesso,,,,,,,,,,,,,1030,512,518
